Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
,,,,,,,,,,,,,
2011,STL,ST LOUIS MO ,"2,553","2,751",158,"1,032",19,24, -   ,16,"2,572","2,933","1,048"
,,,,,,,,,,,,,
2011,TAM,TAMPA FL ,"12,976","12,765","1,076","4,215",61,62,6,22,"13,037","13,909","4,237"
,,,,,,,,,,,,,
2011,TUC,TUCSON AZ/SUB ,"2,697","2,365",112,"1,135",28,28,5,18,"2,725","2,510","1,153"
,,,,,,,,,,,,,
2011,WAS,WASHINGTON DC ,"18,438","14,539","1,590","11,327",525,138,17,169,"18,963","16,284","11,496"
,,,,,,,,,,,,,
2011,WIC,WICHITA KS,"1,170",995,82,474,19,10, -   ,9,"1,189","1,087",483
,,,,,,,,,,,,,
2011,WPB,WEST PALM BEACH FL,"8,796","9,257",683,"2,256",36,63,3,9,"8,832","10,006","2,265"
,,,,,,,,,,,,,
2011,YAK,YAKIMA WA,"1,549","1,456",112,308,7,7, -   ,3,"1,556","1,575",311
,,,,,,,,,,,,,
2011 YTD Total,,,"744,942","681,290","56,336","308,556","11,066","9,415",729,"3,338","756,008","747,770","311,894"
,,,,,,,,,,,,,
2012,ABQ,ALBUQUERQUE NM ,"1,759","1,791",84,673,15,24, -   ,7,"1,774","1,899",680
,,,,,,,,,,,,,
2012,AGA,AGANA GUAM ,888,882,102,271,23,29,3,6,911,"1,016",277
,,,,,,,,,,,,,
2012,ALB,ALBANY NY ,"2,485","2,251",140,877,10,4, -   ,6,"2,495","2,395",883
,,,,,,,,,,,,,
2012,ANC,ANCHORAGE AK ,"1,322","1,154",147,485,30,32,5,15,"1,352","1,338",500
,,,,,,,,,,,,,
2012,ATL,ATLANTA GA ,"22,754","19,064","1,765","10,451",685,293,62,214,"23,439","21,184","10,665"
,,,,,,,,,,,,,
2012,BAL,BALTIMORE MD ,"20,044","16,176","1,103","9,846",76,89,11,25,"20,120","17,379","9,871"
,,,,,,,,,,,,,
2012,BOI,BOISE ID ,"1,317","1,255",160,430,15,15, -   ,5,"1,332","1,430",435
,,,,,,,,,,,,,
2012,BOS,BOSTON MA ,"18,498","15,854","1,168","8,351",38,32,1,17,"18,536","17,055","8,368"
,,,,,,,,,,,,,
2012,BUF,BUFFALO NY ,"3,629","3,260",372,"1,459",59,110, -   ,28,"3,688","3,742","1,487"
,,,,,,,,,,,,,
2012,CHA,CHARLOTTE AMALIE ,450,383,52,144,2,2, -   ,2,452,437,146
,,,,,,,,,,,,,
2012,CHI,CHICAGO IL ,"30,701","27,869","2,326","13,357","1,380","1,138",2,241,"32,081","31,335","13,598"
,,,,,,,,,,,,,
